72,90,105,128,72,66,74
76,90,109,121,72,64,69
76,84,104,109,73,69,71
85,81,100,103,70,66,71
80,82,98,96,69,65,72
80,82,133,105,65,62,64
85,84,98,112,68,61,64
76,84,96,105,72,67,69
84,89,110,97,69,65,75
84,90,107,89,73,66,73
83,91,110,89,70,61,75
86,90,111,78,70,60,73
83,89,120,81,72,67,72
83,88,111,83,64,63,76
83,89,109,84,74,66,72
91,90,111,124,71,68,79
83,92,115,109,69,66,75
86,96,116,99,67,67,74
84,91,111,88,69,67,76
85,86,104,93,70,67,72
84,86,106,125,71,63,69
79,90,109,114,72,61,71
75,88,107,105,72,68,72
81,88,107,123,74,67,72
78,78,97,113,70,67,68
78,77,100,105,70,64,74
78,81,96,178,73,62,64
75,83,96,152,71,65,70
74,84,99,136,69,63,69
80,89,116,123,71,68,67
84,84,108,113,69,66,62
86,84,101,113,67,62,63
84,83,116,101,71,67,68
78,92,108,97,70,68,76
84,92,114,91,73,69,73
87,88,104,85,74,66,80
92,94,115,81,69,70,75
84,94,116,80,72,90,74
108,97,121,77,71,70,74
85,96,115,76,75,70,112
89,92,119,84,70,68,77
80,90,112,81,70,68,75
83,97,114,86,68,87,77
85,97,119,76,68,75,77
82,86,112,81,72,66,70
81,86,101,99,71,69,69
81,88,98,130,73,62,63
76,87,102,117,69,63,67
75,83,101,109,69,65,71
73,82,94,98,71,64,72
72,82,98,190,69,66,72
77,84,92,164,69,75,69
79,83,92,139,73,62,67
76,83,108,124,70,68,75
80,90,107,112,76,70,75
81,89,114,103,71,69,78
87,95,111,94,68,66,73
83,91,112,93,72,66,74
88,96,117,83,72,62,74
80,89,108,84,72,66,72
84,92,110,81,72,66,74
87,90,111,81,75,64,70
87,92,110,95,70,64,72
81,97,113,85,72,64,72
79,93,118,79,70,68,74
83,88,104,89,66,67,70
79,85,104,131,69,63,72
87,89,102,115,73,63,68
75,86,99,111,71,65,66
81,90,101,101,73,70,72
80,84,105,187,69,64,68
81,106,129,97,73,67,81
94,102,124,88,68,59,78
86,96,114,89,69,67,72
82,90,109,86,69,63,69
79,88,110,87,70,64,73
81,85,93,91,67,66,70
80,88,103,87,68,68,70
84,94,111,83,69,63,70
82,112,114,83,71,70,73
80,92,112,79,72,65,78
82,91,116,80,74,67,76
91,92,108,78,69,66,70
188,89,104,97,73,64,68
82,86,106,89,68,63,70
76,80,90,90,68,66,70
82,84,94,99,67,67,70
79,86,98,91,70,67,64
66,85,102,89,67,66,94
74,88,102,85,70,67,66
74,80,96,166,69,63,69
75,79,86,146,69,66,71
78,82,94,130,72,62,79
77,87,100,113,65,61,62
69,83,105,104,63,68,73
78,91,105,91,65,63,70
75,81,103,95,67,59,64
76,83,110,90,66,64,63
64,82,102,89,66,67,62
72,83,101,86,65,65,64
71,73,87,98,71,64,72
80,84,96,96,67,63,66
75,81,94,92,69,62,62
72,86,99,86,72,64,66
80,88,103,84,72,60,70
76,77,101,164,69,65,70
79,94,104,118,73,72,73
82,90,110,108,72,65,65
84,84,115,101,63,66,71
79,91,115,93,182,68,71
85,92,118,88,67,63,76
80,92,114,85,72,63,75
88,89,118,81,68,68,74
80,96,115,84,72,70,73
83,85,120,77,72,70,75
90,91,110,84,75,72,77
84,87,107,75,70,68,71
87,94,111,81,74,68,82
111,132,160,107,75,75,77
